Metadata_sample_name,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_MaxFeretDiameter,AreaShape_FilledArea,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_MeanIntensity_LMX,Intensity_MeanIntensity_TH,Intensity_MaxIntensity_LMX,Intensity_MaxIntensity_TH,Intensity_MinIntensity_LMX,Intensity_MinIntensity_TH,Location_Center_X,Location_Center_Y,CellName,cell_type
S2,11,281,352,292,0.684784431188973,18.915081603593,1,0.798295454545455,23.0867927612304,22.1630036011272,16.1511933838249,0.180365234035339,60.8700576850888,0.962328767123288,0.24041322,0.022206396,0.372448980808258,0.0685714259743691,0.122448980808258,0,145.23487544484,369.743772241993,S2-LMX-11,LMX+
S2,12,316,400,327,0.591909049691905,20.0585068271871,1,0.79,23.3238075793812,22.3934838414824,18.049254621314,0.796392238848306,65.1126983722081,0.966360856269113,0.33135813,0.15665457,0.469387769699097,0.342857152223587,0.132653057575226,0.011428571306169,330.518987341772,258.575949367089,S2-LMX-12,LMX+
S2,13,332,432,346,0.640571730348361,20.5600469078277,1,0.768518518518519,24.5153013442625,23.5383724675207,18.0750771089174,0.00285279744881013,67.1126983722081,0.959537572254335,0.22578065,0.017228898,0.301020413637161,0.0799999982118607,0.0969387739896774,-0.00571428565308452,31.7710843373494,322.756024096386,S2-LMX-13,LMX+
S2,14,533,713,553,0.699812877872178,26.0506559868239,1,0.747545582047686,32.280024783138,31.0232927639302,22.160751178071,0.162889895625263,86.4264068711929,0.963833634719711,0.15416184,0.014355386,0.265306115150452,0.0742857158184052,0.0663265287876129,0,120.677298311445,390.532833020638,S2-LMX-14,LMX+
S2,15,268,418,281,0.858260590624916,18.4723630862168,1,0.641148325358852,26.0768096208106,25.8452892651905,13.264168031306,0.636012357586376,63.9411254969543,0.953736654804271,0.3023912,0.02718547,0.443877547979355,0.108571425080299,0.122448980808258,0,110.529850746269,350.589552238806,S2-LMX-15,LMX+
S2,16,385,576,404,0.797664231267575,22.1403980253978,1,0.668402777777778,28.8444102037119,28.5465515440472,17.2164764541785,-0.814293562693386,75.0121933088198,0.952970297029703,0.27003717,0.07951021,0.413265317678452,0.331428557634354,0.107142858207226,0.011428571306169,414.485714285714,301.405194805195,S2-LMX-16,LMX+
S2,17,373,506,392,0.64774220230504,21.7926214620044,1,0.737154150197628,26.4007575648882,25.1094806843726,19.1298987331031,-0.788600862294369,72.5269119345812,0.951530612244898,0.21105765,0.066533886,0.326530605554581,0.239999994635582,0.117346942424774,0.011428571306169,279.648793565684,389.890080428954,S2-LMX-17,LMX+
S2,18,458,620,481,0.817138101167948,24.1483687127869,1,0.738709677419355,32.280024783138,31.8378231773568,18.3526569285763,0.242363728749836,82.7695526217005,0.952182952182952,0.16997148,0.072052404,0.321428567171097,0.205714285373688,0.0561224482953548,0.011428571306169,486.458515283843,244.624454148472,S2-LMX-18,LMX+
S2,19,361,486,379,0.785830367458063,21.4392041748147,1,0.742798353909465,27.6586333718787,27.3416975538122,16.9092569086337,-0.107522008950347,72.5269119345812,0.952506596306069,0.19341122,0.048357695,0.290816336870194,0.125714287161827,0.107142858207226,0.011428571306169,398.753462603878,284.659279778393,S2-LMX-19,LMX+
S2,20,429,650,445,0.822733810620495,23.3713449482777,1,0.66,30.8058436014987,31.0458228472848,17.6472790972449,0.793492633356749,79.840620433566,0.964044943820225,0.12456592,0.030183105,0.270408153533936,0.0742857158184052,0.0459183678030968,0.011428571306169,196.524475524476,244.065268065268,S2-LMX-20,LMX+
S2,21,299,384,313,0.781510400700169,19.5114997854038,1,0.778645833333333,25,24.7773366981428,15.4583874279367,-0.179445836596579,64.8700576850888,0.955271565495208,0.17944165,0.04233155,0.326530605554581,0.18857142329216,0.107142858207226,0.00571428565308452,371.046822742475,270.682274247492,S2-LMX-21,LMX+
S2,22,340,468,357,0.814116320451498,20.8062837914404,1,0.726495726495727,27.5136329843952,27.5043952167171,15.9718526687627,0.301488504393543,71.1126983722081,0.952380952380952,0.2060624,0.0131932665,0.301020413637161,0.0628571435809135,0.122448980808258,0,45.0058823529412,308.955882352941,S2-LMX-22,LMX+
S2,23,316,391,329,0.713624871640498,20.0585068271871,1,0.808184143222506,24.3515913237718,23.9868131006242,16.8034352999079,-0.171125935445522,65.4558441227157,0.96048632218845,0.22870387,0.071066916,0.341836720705032,0.468571424484253,0.117346942424774,0.00571428565308452,361.03164556962,296.408227848101,S2-LMX-23,LMX+
S2,24,200,255,209,0.73496297707824,15.9576912160573,1,0.784313725490196,20.2484567313166,19.4288231991502,13.1748255812426,0.572966804481299,51.7989898732233,0.956937799043062,0.25382665,0.028285705,0.454081624746323,0.0628571435809135,0.0969387739896774,0.011428571306169,71.805,335.105,S2-LMX-24,LMX+
S2,25,274,380,286,0.738204552147511,18.6779986951877,1,0.721052631578947,23.3238075793812,22.7794281437114,15.3664767837042,0.747195281951936,61.1126983722081,0.958041958041958,0.18726721,0.0071324366,0.36224490404129,0.0399999991059303,0.0765306130051613,0,34.6313868613139,378.536496350365,S2-LMX-25,LMX+
S2,26,348,460,362,0.651179509345355,21.049640414217,1,0.756521739130435,25.0798724079689,24.2433679403675,18.3988675229737,-0.50358263998516,69.3553390593274,0.961325966850829,0.21871321,0.08929398,0.295918375253677,0.325714290142059,0.142857149243355,0.00571428565308452,314.948275862069,338.051724137931,S2-LMX-26,LMX+
